EntrezGeneID	GeneSymbol	UniprotID	UniprotEntry	Sources
5155	PDGFB	P01127	PDGFB_HUMAN	S
5156	PDGFRA	P16234	PGFRA_HUMAN	C,S
5159	PDGFRB	P09619	PGFRB_HUMAN	S
57107	PDSS2	Q86YH6	DLP1_HUMAN	M
5187	PER1	O15534	PER1_HUMAN	S
84295	PHF6	Q8IWS0	PHF6_HUMAN	C,S,M
8929	PHOX2B	Q99453	PHX2B_HUMAN	C,S
8301	PICALM	Q13492	PICAL_HUMAN	S
5290	PIK3CA	P42336	PK3CA_HUMAN	C,S,M
5295	PIK3R1	P27986	P85A_HUMAN	C,S,M
5292	PIM1	P11309	PIM1_HUMAN	S
5324	PLAG1	Q6DJT9	PLAG1_HUMAN	S
5335	PLCG1	P19174	PLCG1_HUMAN	C,S
5336	PLCG2	P16885	PLCG2_HUMAN	M
5371	PML	P29590	PML_HUMAN	S
5378	PMS1	P54277	PMS1_HUMAN	S
5395	PMS2	P54278	PMS2_HUMAN	S
5426	POLE	Q07864	DPOE1_HUMAN	C,S,M
25913	POT1	Q9NUX5	POTE1_HUMAN	C,S
5450	POU2AF1	Q16633	OBF1_HUMAN	S,M
5452	POU2F2	P09086	PO2F2_HUMAN	M
5460	POU5F1	Q01860	PO5F1_HUMAN	S
5468	PPARG	P37231	PPARG_HUMAN	S
8496	PPFIBP1	Q86W92	LIPB1_HUMAN	S
8493	PPM1D	O15297	PPM1D_HUMAN	S,M
5518	PPP2R1A	P30153	2AAA_HUMAN	C,S,M
5537	PPP6C	O00743	PPP6_HUMAN	C,S,M
5546	PRCC	Q92733	PRCC_HUMAN	S
639	PRDM1	O75626	PRDM1_HUMAN	C,S,M
63976	PRDM16	Q9HAZ2	PRD16_HUMAN	S
80243	PREX2	Q70Z35	PREX2_HUMAN	S
5551	PRF1	P14222	PERF_HUMAN	S
5566	PRKACA	P17612	KAPCA_HUMAN	C,S
5573	PRKAR1A	P10644	KAP0_HUMAN	C,S
5396	PRRX1	P54821	PRRX1_HUMAN	S
11168	PSIP1	O75475	PSIP1_HUMAN	S
5727	PTCH1	Q13635	PTC1_HUMAN	C,S
5728	PTEN	P60484	PTEN_HUMAN	C,S,M
5753	PTK6	Q13882	PTK6_HUMAN	S
5781	PTPN11	Q06124	PTN11_HUMAN	C,S,M
5783	PTPN13	Q12923	PTN13_HUMAN	C,S
5787	PTPRB	P23467	PTPRB_HUMAN	C,S
5788	PTPRC	P08575	PTPRC_HUMAN	S
5796	PTPRK	Q15262	PTPRK_HUMAN	S
11122	PTPRT	O14522	PTPRT_HUMAN	S
114825	PWWP2A	Q96N64	PWP2A_HUMAN	S
9444	QKI	Q96PU8	QKI_HUMAN	S,M
142684	RAB40A	Q8WXH6	RB40A_HUMAN	M
9135	RABEP1	Q15276	RABE1_HUMAN	S
5879	RAC1	P63000	RAC1_HUMAN	C,S,M
5885	RAD21	O60216	RAD21_HUMAN	C,S,M
5890	RAD51B	O15315	RA51B_HUMAN	S
5894	RAF1	P04049	RAF1_HUMAN	S
5900	RALGDS	Q12967	GNDS_HUMAN	S
64901	RANBP17	Q9H2T7	RBP17_HUMAN	S
5903	RANBP2	P49792	RBP2_HUMAN	S
5910	RAP1GDS1	P52306	GDS1_HUMAN	S
5914	RARA	P10276	RARA_HUMAN	S
5921	RASA1	P20936	RASA1_HUMAN	M
5925	RB1	P06400	RB_HUMAN	C,S,M
8241	RBM10	P98175	RBM10_HUMAN	S,M
64783	RBM15	Q96T37	RBM15_HUMAN	S
9401	RECQL4	O94761	RECQ4_HUMAN	S
5966	REL	Q04864	REL_HUMAN	S
5979	RET	P07949	RET_HUMAN	C,S
6009	RHEB	Q15382	RHEB_HUMAN	M
387	RHOA	P61586	RHOA_HUMAN	C,S,M
399	RHOH	Q15669	RHOH_HUMAN	S
6016	RIT1	Q92963	RIT1_HUMAN	M
116028	RMI2	Q96E14	RMI2_HUMAN	S
57674	RNF213	Q63HN8	RN213_HUMAN	S
7955	RNF217-AS1			S
54894	RNF43	Q68DV7	RNF43_HUMAN	C,S
6098	ROS1	P08922	ROS1_HUMAN	S
6134	RPL10	P27635	RL10_HUMAN	C,S
6146	RPL22	P35268	RL22_HUMAN	S
6125	RPL5	P46777	RL5_HUMAN	C,S,M
6184	RPN1	P04843	RPN1_HUMAN	S
6209	RPS15	P62841	RS15_HUMAN	M
6187	RPS2	P15880	RS2_HUMAN	M
222194	RSBN1L	Q6PCB5	RSBNL_HUMAN	M
340419	RSPO2	Q6UXX9	RSPO2_HUMAN	S
84870	RSPO3	Q9BXY4	RSPO3_HUMAN	S
84127	RUNDC2A	Q8TEQ0	SNX29_HUMAN)	S
861	RUNX1	Q01196	RUNX1_HUMAN	C,S,M
862	RUNX1T1	Q06455	MTG8_HUMAN	S
6256	RXRA	P19793	RXRA_HUMAN	M
26278	SACS	Q9NZJ4	SACS_HUMAN	M
57167	SALL4	Q9UJQ4	SALL4_HUMAN	S
51119	SBDS	Q9Y3A5	SBDS_HUMAN	S
6385	SDC4	P31431	SDC4_HUMAN	S
6389	SDHA	P31040	SDHA_HUMAN	S
54949	SDHAF2	Q9NX18	SDHF2_HUMAN	S
6390	SDHB	P21912	SDHB_HUMAN	S
6391	SDHC	Q99643	C560_HUMAN	S
6392	SDHD	O14521	DHSD_HUMAN	S
6403	SELP	P16109	LYAM3_HUMAN	M
124404	SEPT12	Q8IYM1	SEP12_HUMAN	M
5413	SEPT5	Q99719	SEPT5_HUMAN	S
23157	SEPT6	Q14141	SEPT6_HUMAN	S
10801	SEPT9	Q9UHD8	SEPT9_HUMAN	S
5275	SERPINB13	Q9UIV8	SPB13_HUMAN	M
6418	SET	Q01105	SET_HUMAN	S
26040	SETBP1	Q9Y6X0	SETBP_HUMAN	C,S
29072	SETD2	Q9BYW2	SETD2_HUMAN	C,S,M
9869	SETDB1	Q15047	SETB1_HUMAN	M
23451	SF3B1	O75533	SF3B1_HUMAN	C,S,M
6421	SFPQ	P23246	SFPQ_HUMAN	S
6424	SFRP4	Q6FHJ7	SFRP4_HUMAN	S
6446	SGK1	O00141	SGK1_HUMAN	M
10019	SH2B3	Q9UQQ2	SH2B3_HUMAN	C,S
6455	SH3GL1	Q99961	SH3G1_HUMAN	S
23409	SIRT4	Q9Y6E7	SIR4_HUMAN	M
6507	SLC1A3	P43003	EAA1_HUMAN	M
1811	SLC26A3	P40879	S26A3_HUMAN	M
10568	SLC34A2	O95436	NPT2B_HUMAN	S
126969	SLC44A3	Q8N4M1	CTL3_HUMAN	M
85414	SLC45A3	Q96JT2	S45A3_HUMAN	S
57835	SLC4A5	Q9BY07	S4A5_HUMAN	M
4087	SMAD2	Q15796	SMAD2_HUMAN	S,M
4088	SMAD3	P84022	SMAD3_HUMAN	S
4089	SMAD4	Q13485	SMAD4_HUMAN	C,S,M
6597	SMARCA4	P51532	SMCA4_HUMAN	C,S,M
6598	SMARCB1	Q12824	SNF5_HUMAN	C,S,M
6602	SMARCD1	Q96GM5	SMRD1_HUMAN	S
6605	SMARCE1	Q969G3	SMCE1_HUMAN	S
8243	SMC1A	Q14683	SMC1A_HUMAN	M
9126	SMC3	Q9UQE7	SMC3_HUMAN	M
6608	SMO	Q99835	SMO_HUMAN	C,S
27044	SND1	Q7KZF4	SND1_HUMAN	S
83891	SNX25	Q9H3E2	SNX25_HUMAN	M
8651	SOCS1	O15524	SOCS1_HUMAN	C,S
6654	SOS1	Q07889	SOS1_HUMAN	M
64321	SOX17	Q9H6I2	SOX17_HUMAN	M
6657	SOX2	P48431	SOX2_HUMAN	S
92521	SPECC1	Q5M775	CYTSB_HUMAN	S
23013	SPEN	Q96T58	MINT_HUMAN	C,S,M
8405	SPOP	O43791	SPOP_HUMAN	C,S,M
6714	SRC	P12931	SRC_HUMAN	C,S
9901	SRGAP3	O43295	SRGP3_HUMAN	S
6427	SRSF2	Q01130	SRSF2_HUMAN	C,S,M
6428	SRSF3	P84103	SRSF3_HUMAN	S
6760	SS18	Q15532	SSXT_HUMAN	S
26039	SS18L1	O75177	CREST_HUMAN	S
6756	SSX1	Q16384	SSX1_HUMAN	S
6757	SSX2	Q16385	SSX2_HUMAN	S
6759	SSX4	O60224	SSX4_HUMAN	S
10735	STAG2	Q8N3U4	STAG2_HUMAN	C,S,M
6774	STAT3	P40763	STAT3_HUMAN	C,S
6777	STAT5B	P51692	STA5B_HUMAN	C,S
6778	STAT6	P42226	STAT6_HUMAN	S
6491	STIL	Q15468	STIL_HUMAN	S
6794	STK11	Q15831	STK11_HUMAN	C,S,M
8859	STK19	P49842	STK19_HUMAN	M
6801	STRN	O43815	STRN_HUMAN	S
2054	STX2	P32856	STX2_HUMAN	M
51684	SUFU	Q9UMX1	SUFU_HUMAN	C,S
23512	SUZ12	Q15022	SUZ12_HUMAN	S
6850	SYK	P43405	KSYK_HUMAN	S
8148	TAF15	Q92804	RBP56_HUMAN	S
6886	TAL1	P17542	TAL1_HUMAN	S
6887	TAL2	Q16559	TAL2_HUMAN	S
6890	TAP1	Q03518	TAP1_HUMAN	M
23232	TBC1D12	O60347	TBC12_HUMAN	M
79718	TBL1XR1	Q9BZK7	TBL1R_HUMAN	C,S,M
6926	TBX3	O15119	TBX3_HUMAN	C,S,M
6917	TCEA1	P23193	TCEA1_HUMAN	S
6921	TCEB1	Q15369	ELOC_HUMAN	M
6938	TCF12	Q99081	HTF4_HUMAN	S
6929	TCF3	P15923	TFE2_HUMAN	S
6934	TCF7L2	Q9NQB0	TF7L2_HUMAN	S,M
8115	TCL1A	P56279	TCL1A_HUMAN	S
27004	TCL6			S
255394	TCP11L2	Q8N4U5	T11L2_HUMAN	M
126668	TDRD10	Q5VZ19	TDR10_HUMAN	M
7015	TERT	O14746	TERT_HUMAN	C,S
80312	TET1	Q8NFU7	TET1_HUMAN	S
54790	TET2	Q6N021	TET2_HUMAN	C,S,M
7030	TFE3	P19532	TFE3_HUMAN	S
7942	TFEB	P19484	TFEB_HUMAN	S
10342	TFG	Q92734	TFG_HUMAN	S
29844	TFPT	P0C1Z6	TFPT_HUMAN	S
7037	TFRC	P02786	TFR1_HUMAN	S
7048	TGFBR2	P37173	TGFR2_HUMAN	S,M
9967	THRAP3	Q9Y2W1	TR150_HUMAN	S
10440	TIMM17A	Q99595	TI17A_HUMAN	M
3195	TLX1	P31314	TLX1_HUMAN	S
30012	TLX3	O43711	TLX3_HUMAN	S
55654	TMEM127	O75204	TM127_HUMAN	S
7113	TMPRSS2	O15393	TMPS2_HUMAN	S
7124	TNF	P01375	TNFA_HUMAN	M
7128	TNFAIP3	P21580	TNAP3_HUMAN	C,S
8764	TNFRSF14	Q92956	TNR14_HUMAN	C,S,M
608	TNFRSF17	Q02223	TNR17_HUMAN	S
7150	TOP1	P11387	TOP1_HUMAN	S
7157	TP53	P04637	P53_HUMAN	C,S,M
7158	TP53BP1	Q12888	TP53B_HUMAN	M
8626	TP63	Q9H3D4	P63_HUMAN	S
7170	TPM3	P06753	TPM3_HUMAN	S
7171	TPM4	P67936	TPM4_HUMAN	S
7175	TPR	P12270	TPR_HUMAN	S
22974	TPX2	Q9ULW0	TPX2_HUMAN	M
6955	TRA			S
7187	TRAF3	Q13114	TRAF3_HUMAN	M
84231	TRAF7	Q6Q0C0	TRAF7_HUMAN	C,S
6957	TRB			S
6964	TRD			S
373	TRIM23	P36406	TRI23_HUMAN	M
8805	TRIM24	O15164	TIF1A_HUMAN	S
5987	TRIM27	P14373	TRI27_HUMAN	S
51592	TRIM33	Q9UPN9	TRI33_HUMAN	S
9321	TRIP11	Q15643	TRIPB_HUMAN	S
8295	TRRAP	Q9Y4A5	TRRAP_HUMAN	S
7248	TSC1	Q92574	TSC1_HUMAN	C,S,M
7249	TSC2	P49815	TSC2_HUMAN	C,S
7253	TSHR	P16473	TSHR_HUMAN	C,S
150465	TTL	Q8NG68	TTL_HUMAN	S
164395	TTLL9	Q3SXZ7	TTLL9_HUMAN	M
255220	TXNDC8	Q6A555	TXND8_HUMAN	M
7307	U2AF1	P0DN76;Q01081	U2AF5_HUMAN;U2AF1_HUMAN	C,S,M
51366	UBR5	O95071	UBR5_HUMAN	C,S
9098	USP6	P35125	UBP6_HUMAN	S
9101	USP8	P40818	UBP8_HUMAN	C,S
7428	VHL	P40337	VHL_HUMAN	C,S,M
143187	VTI1A	Q96AJ9	VTI1A_HUMAN	S
7454	WAS	P42768	WASP_HUMAN	S
10810	WASF3	Q9UPY6	WASF3_HUMAN	M
7468	WHSC1	O96028	NSD2_HUMAN	S
54904	WHSC1L1	Q9BZ95	NSD3_HUMAN	S
11197	WIF1	Q9Y5W5	WIF1_HUMAN	S
7486	WRN	Q14191	WRN_HUMAN	S
7490	WT1	P19544	WT1_HUMAN	C,S,M
25937	WWTR1	Q9GZV5	WWTR1_HUMAN	S
129446	XIRP2	A4UGR9	XIRP2_HUMAN	M
7507	XPA	P23025	XPA_HUMAN	S
7508	XPC	Q01831	XPC_HUMAN	S
7514	XPO1	O14980	XPO1_HUMAN	C,S,M
7531	YWHAE	P62258	1433E_HUMAN	S
7704	ZBTB16	Q05516	ZBT16_HUMAN	S
55596	ZCCHC8	Q6NZY4	ZCHC8_HUMAN	S
463	ZFHX3	Q15911	ZFHX3_HUMAN	S,M
7733	ZNF180	Q9UJW8	ZN180_HUMAN	M
7750	ZNF198	Q9UBW7	ZMYM2_HUMAN	S
23598	ZNF278	Q9HBE1	PATZ1_HUMAN	S
55422	ZNF331	Q9NQX6	ZN331_HUMAN	S
171017	ZNF384	Q8TF68	ZN384_HUMAN	S
57573	ZNF471	Q9BX82	ZN471_HUMAN	M
158399	ZNF483	Q8TF39	ZN483_HUMAN	M
25925	ZNF521	Q96K83	ZN521_HUMAN	S
253639	ZNF620	Q6ZNG0	ZN620_HUMAN	M
79755	ZNF750	Q32MQ0	ZN750_HUMAN	M
84083	ZRANB3	Q5FWF4	ZRAB3_HUMAN	M
8233	ZRSR2	Q15696	U2AFM_HUMAN	C,S
